date,close,high,low,open,volume,ticker
2025-01-02,242.3019256591797,247.51859606258614,240.28481431614935,247.34966196417784,55740700,AAPL
2025-01-03,241.8150177001953,242.6298040057451,240.3543488544026,241.8150177001953,40244100,AAPL
2025-01-06,243.4446258544922,245.7598357483754,241.6560500607284,242.75900387005615,45045600,AAPL
2025-01-07,240.67234802246094,243.9911405526811,239.81780708502322,241.4374487975533,40856000,AAPL
2025-01-08,241.15921020507812,242.16280789951685,238.52603985831155,240.3841632667122,37628900,AAPL
2025-01-10,235.3463592529297,238.63534322792128,231.52079498772144,238.48628640867517,61710900,AAPL
2025-01-13,232.9119110107422,233.18020116738663,228.26162915914,232.04743903723335,49630700,AAPL
2025-01-14,231.79901123046875,234.62097773623856,230.9941559742804,233.2596800887061,39435300,AAPL
2025-01-15,236.35989379882812,237.4429855317883,232.94172997653553,233.1504034772107,39832000,AAPL
2025-01-16,226.81088256835938,236.49898454969573,226.58234697208553,235.84318609247865,71759100,AAPL
2025-01-17,228.51995849609375,230.81529094249188,227.0294813062853,230.64637201374376,68488300,AAPL
2025-01-21,221.22657775878906,222.99527628303537,217.9872792040061,222.57794445660952,98070400,AAPL
2025-01-22,222.4090118408203,222.6971640978084,218.39465138442915,218.39465138442915,64126500,AAPL
2025-01-23,222.24009704589844,225.58869773276695,220.88873040600683,223.3132424800993,60234800,AAPL
2025-01-24,221.3656768798828,224.19758968028435,220.00437919561992,223.35297985225768,54697900,AAPL
2025-01-27,228.40072631835938,230.67618150163648,222.5580508531902,222.5978054024586,94863400,AAPL
2025-01-28,236.7473907470703,238.66514594376807,229.3446904229109,229.38444497187513,75707600,AAPL
2025-01-29,237.8404083251953,238.33723404319062,232.52436707787834,232.63366934231402,45486100,AAPL
2025-01-30,236.08168029785156,239.26136238940995,235.70410299948912,237.15482584661257,55658300,AAPL
2025-01-31,234.5017547607422,245.62071750771995,231.95800933839706,245.62071750771995,100959800,AAPL
2025-02-03,226.56248474121094,230.35824094469035,224.2671520837408,228.52992572925916,73063300,AAPL
2025-02-04,231.3220672607422,231.64997406812495,225.21110156992967,225.80729852188347,45067300,AAPL
2025-02-05,230.99417114257812,231.19289841511937,226.82083777153602,227.0791817096477,39620300,AAPL
2025-02-06,231.7394256591797,232.31574540236795,228.96712922491054,229.8216702010973,29925300,AAPL
2025-02-07,226.18490600585938,232.5144614947352,225.81724462416,231.12335539671392,39707200,AAPL
2025-02-10,226.45346069335938,229.378010419489,226.00582893863492,228.36338248973718,33115600,AAPL
2025-02-11,231.3973388671875,233.99362125199642,226.93094812871882,227.000572314181,53718400,AAPL
2025-02-12,235.625,235.71453849328682,229.4675323792709,229.98480349517558,45243300,AAPL
2025-02-13,240.26052856445312,241.06626881430705,234.33186254170715,235.66481592241834,53614100,AAPL
2025-02-14,243.31439208984375,244.25939586817944,239.72336558929686,239.981993568851,40896200,AAPL
